input_text,label
"As the conference began, John outlined his strategic vision, the team leaned in closer, and it quickly became apparent that his leadership was truly inspiring.",1
"As John entered the meeting room discussion began, the attendees talked more animatedly, and it soon became obvious that Alex was already bored.",0
"Sabrina, however, approached the research team and declared: ""Why worry? I will consult with Dr. Thompson, the leading expert, and he will guide us forward."" With determination, she headed straight to his office.",1
"Laura, however, entered the lecture hall and asked, ""Why the confusion? I'll simply consult Professor Jones, and he'll clarify this for everyone."" And as soon as she spoke, she turned to leave.  ",0
"She was doubtful at first, but she was far more determined than the other candidates for the research grant.",1
"She was uncertain, but she was not as uncertain as the other board members.  ",0
"They believed they had completed their thesis review by the 15th of April, but by the evening of the 14th, they had found new data, and revised their thesis. It was crucial, as the conference deadline loomed.",1
"They were confident they had submitted their thesis on the 15th of May, but by the evening of the 14th, they realized they had forgotten to include the references, which required immediate attention, for the deadline was fast approaching.  ",0
"Jessica, who tirelessly practiced for countless hours, later broke the national record and became an icon in the swimming world.",1
"The athletes, who, knowingly or unknowingly, had relied on him during the championship, he later referred to as a group of cats.",0
Martin believed deeply in his potential to become a world-class tennis player.,1
Chris realized in his core that the coach noticed details.,0
Her determination was fueled by years of training at the renowned sports academy and matured further through international tournaments.,1
"It was invigorated by his time at the training camp on the Smith residence, and had not diminished in his seasons away from the home field.",0
She insisted that I should present her business proposal to the investors.  ,1
He believed that Jane would share the hilarious story with them.,0
"Then they gathered insights and the young entrepreneur started brainstorming towards the innovative project. Ideas flowed like untapped energy. She smiled, envisioned potential, and directed her team with confidence and focus.  ",1
"Then they loaded up the car and drove on down the highway toward the vibrant city lights. Laughter echoed from Katie's friends like a joyful symphony. They sang, and shared snacks, enjoying every moment of their drive.",0
"And Maria beamed a sudden excited grin,—a grin that made her peers at the startup incubator buzz with curiosity, sensing a breakthrough.  ",1
"And Sarah burst into a fit of giggles,--a burst that made her friend drop her phone in surprise, while several onlookers nearby exchanged amused smiles.",0
"The samples he carries in a sleek folder for meetings, while the business plans are stored digitally for easy sharing and rapid iteration.  ",1
"The candies he keeps in a jar with a tight lid, while the cookies are stored in airtight containers which will keep them fresh at his mom's house.",0
"If she hadn't taken action, the startup could have faltered, but her guidance led to its success and impact on the local community.  ",1
