input_text,label
"As he observed the promotion announcement unfold, Mark's enthusiasm evaporated, his focus waned on tasks, and it was apparent that his productivity dipped significantly.",1
"As we walked into the office, laughter echoed, and the meeting room filled quickly, indicating the manager's farewell party was in full swing.",0
"However, while surveying her colleague's research paper, Rachel whispered to Mark: ""How did they manage to get their study published in the Journal of Major Discoveries?"" And no sooner had she questioned the process than a sigh of frustration left her.",1
"Dr. Morgan approached her colleagues and inquired, ""Have you considered submitting our findings to the journal? I believe our advisor, Dr. Williams, will guide us through the process."" As soon as she suggested it, she began drafting the submission.",0
"She was diligent, but she was not as diligent as Dr. Ravi, who had already secured a prestigious grant.",1
"She had doubts, but her indecision paled in comparison to the department chair's lack of commitment.",0
"The teammates who, unknowingly or not, had watched his brilliant performance felt a strange churn of admiration and discontent.  ",1
"The athletes who, knowingly or unknowingly, had pushed him to train harder were later praised as dedicated mentors.",0
"Governor Allen struggled with public scrutiny, convinced the media's admiration of Senator Joyce's charisma overshadowed his diligent efforts for reform.",1
Senator Johnson was overwhelmed with support during the campaign and remained certain he could navigate the complex political landscape due to his strategic insights.  ,0
"The citizens often erected statues of their national heroes to overshadow the neighboring country’s grand symposium, hoping to mesmerize visiting dignitaries with their own nation’s glorified triumphs.",1
"The ancient politicians would draft agreements in secret to resolve territories fraught with conflicts, in hopes of maintaining diplomatic ties.  ",0
"""I must look so underdressed——"" And then Henry realized that another diplomat, with a more prominent title and a sharper suit, was standing by the prime minister, partially obscured by the lavish flowers adorning the room. ""Excuse me—I hadn't noticed anyone of higher rank had arrived,"" admitted Henry.",1
"""I must look such a mess——"" And then Oliver realized another politician was standing next to him just beyond the conference stage. A thick crowd almost concealed her. ""My apologies—I didn't notice anyone else standing there,"" Oliver remarked.  ",0
"The sculpture's contours were in perfect harmony and balance—a creation everyone praised openly, while the secret desire to replicate such brilliance lingered in the minds of many.",1
"The poet's verses were in a whirlwind of metaphor, rhythm, and imagery—but perhaps Shakespeare understood Keats, and he continued writing with remarkable eloquence.",0
"""I can't help but notice,"" she murmured, ""the way she plays that violin with such ease and finesse."" Tom placed his old, worn-out guitar next to his seat, leaned back in the audience's wooden chair, and masked his slight longing with a tight-lipped smile.",1
"""I shouldn't be surprised,"" she thought, ""if he were not tuning his guitar for the next set."" Andrew placed his vintage vinyl by the turntable, leaned back in the studio chair, and expressed a sense of nostalgia and anticipation.",0
"They encourage me to pick up a new instrument and join the ensemble, so I, too, can share in the accolades they've been receiving. I lack their skill, but perhaps with dedication, I could achieve it.",1
"They invited me to the concert and promised a front-row experience, so that he might join us on stage if the encore request arises. I am exhausted, but I could manage to attend if necessary.",0
"She watched from the window as her neighbor pulled up in a brand-new sports car, a wistful longing tugging at her heart, stirring dreams of a lifestyle beyond her reach.",1
"She organizes regular community clean-ups and encourages neighbors to participate. In doing so, she strengthens the bonds within the neighborhood and instills a sense of pride among residents.",0
"Returning home after the grand community event, she overheard the glowing praises her colleague received from everyone, quietly wishing for similar accolades.",1
"In March, when she moved to Dallas and embraced the vibrant community, she connected with local artists to start a public mural project.",0
"They lingered at the cafe, eyes darting to the cheerfully chatting group across the room, each of them captivated by the seemingly effortless charisma they lacked.",1
"The volunteers did not rush, since taking their time allowed them to ensure each package was filled with care and thoughtfulness.",0
"At sunset, he retreated to his cozy apartment, reflecting on the stories his coworker shared about extravagant vacations, craving adventures that seemed just out of grasp.",1
"In the early hours, he assisted at the local shelter, confident that the seasoned volunteers would ensure everything ran smoothly. After leaving notes for the new batch of volunteers, he took a break to refresh.",0
"The researcher in the lab observed the equations on the board left visible by the scientist across the room, eagerly examining the breakthroughs displayed in plain sight. He noted the solution was elegant and realized having read somewhere that such clarity often accompanied Nobel laureates.",1
The student at the microscope noticed the curious gaze of his mentor reflected in the lens. He realized her eyes were a deep brown and remembered reading about how such details often indicated focus and perceptiveness.,0
"She knew you would get the latest device, she mentioned--even after she undermined your tech skills so frequently--just to keep up with the peer pressure.",1
"He believed you would upgrade it, he mentioned--although he ignored your principles--because of your past collaborations.  ",0
"But for you, I would probably still be fumbling with an outdated phone while everyone else moved on to smart assistants.",1
"Without your insight, I may have programmed an obsolete system like countless others.  ",0
"""Why should your expensive device feature superior capabilities and faster processing?"" Alex, who had been listening intently, with a hint of frustration, joined the tech debate in another language.",1
"""How does your innovative AI simplify the tasks for programmers across the globe?"" queried Maria, standing next to him, her curiosity piqued by the ongoing discussion.",0
"You have seen how Ellen's posts have gained so many followers and comments. Meanwhile, we struggle to get noticed.",1
"You may remember how I celebrated your creativity online—how I shared your artwork with thousands of followers. You know how, when you achieved something remarkable, I made sure everyone knew.",0
"Sandra watched the live feed, knowing she missed the opportunity to show off her new project first.",1
"Now with the viral moment past in which he could have captured widespread attention, he was not naive enough to attempt a follow-up post.",0
"Awkwardly, Martin read through the updates, trying to understand what made Layla's stories so captivating.",1
"Vainly he scrolled through the feed, trying to extract from the quick snapshots some understanding of who Jessica had become.",0
"There was no hint of him acknowledging our contributions to the group's success, nor the hours spent perfecting our content. It seems only those with viral content reap the benefits.",1
"There was no notification about unfriending him, or blocking, as was customary when an acquaintance decided to cut ties online. According to the platform's policies, one could quietly unfollow without notice.",0
"The young intern frequently watched the manager drive his luxury car to work, wishing he could afford the same.",1
Jason and the lead engineer of the team had brainstormed to refine the software prototype for better efficiency.,0
"Mark glanced at Emily's promotion notice and returned to his desk, concealing his disappointment behind a forced smile.",1
Maria pushed her chair back and walked out of the boardroom with a determined stride.,0
But I don't see why you should get all the grants when I work just as hard. Professor Green's eyes narrowed as she spoke.,1
"""But I don't see why _you_ should put in extra hours for this project."" Professor Kent's thin eyebrows arched expectantly across the room.",0
"Now the cheers rarely shifted his gaze; for not his coach, but a new rival, had drawn the audience's attention from the seasoned gymnast.",1
"His previous enthusiasm for winning had waned; instead, newfound interests in sportsmanship captured his heart and drove his motivation.",0
"With the grace of an Olympic podium, he watched his teammate hold the victory trophy with hidden frustration.",1
"With the precision of an experienced referee handling a crucial match, she organized the game strategies with calculated finesse.",0
Campaign promises illuminated discussions as the rival leader's soaring popularity became the topic at every political meeting despite the delegates' desperate apprehension.,1
Policy makers argue that crafting effective legislation often involves compromise and negotiation rather than rigid adherence to ideology.,0
"With dusk descending, the entourage crossed into the neighboring district, noticing newly built infrastructures heralding progress, stirring quiet discontent among their ranks.",1
Midnight meetings among delegates took place where strategies were outlined and amendments were proposed for the upcoming conference.,0
"Her advice to ambitious artists is to welcome critique graciously, not to exhibit frustration over the accolades others receive, even if they strongly feel deserving of the same recognition.",1
"His advice to artists is to embrace criticism gracefully, refraining from defending every brushstroke, even when the critique feels harsh or misguided.",0
"Holding his well-worn violin in weathered hands, he listened to the precision of the young prodigy with a knot in his stomach. James pondered the future, each note deepening his introspection.  ",1
"Hearing the melody in their minds constantly, they happily composed new verses. Harmony filled their souls, and their practice sessions were devoted to perfecting this new composition.",0
"Thus, despite the maestro's favoritism, a talented ensemble quickly formed behind the scenes, and a talented group who felt that the maestro saw them as threats rather than assets.  ",1
"Thus, notwithstanding the opinions of critics, an enthusiastic fanbase was quickly forming online, and supporters who believed the band was capable of transforming the current music landscape.",0
"""If I had access to that level of technology, my experiments would be limitless,"" the researcher muttered after observing the laboratory's state-of-the-art equipment at the symposium.",1
"If they need assistance, we would happily assist them."" The researcher nodded appreciatively at hearing this supportive commitment.",0
"Each scientist assessed the other's success and recognition in the field, pondering the accolades once equally shared; each quietly determined that surpassing the other was now their sole professional goal.",1
"Each believed the other was mistaken, ill-informed, stubborn; each questioned how they ever collaborated so cohesively; each, I think, was intent that this meeting would be the conclusion.",0
Dr. Kerr felt frustrated with her experiment's results and observed her colleague's accolades with mounting dissatisfaction.,1
Alex felt overwhelmed by the inquiry and seemed completely perplexed.,0
"It offers features of efficiency and precision; her clever algorithms are robust in function and adaptable to different applications. Her code is neat, her logic impeccable, and her solutions inventive.",1
"It embodies the elements of accuracy and engagement; his best tech articles are precise in detail and imaginative in approach. His writing is concise, his research thorough, and his examples are well-chosen.  ",0
One might be embarrassed if ever a single complaint was uttered against someone else's perfect beach photos.,1
I should be heartily amused if a meme from my feed ever failed to make me smile.,0
